place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1715,Harlem River Park,Each One Teach One,Handball,3,0,Asphalt
1716,Sunset Park,Sunset Park Playground,Handball,1,0,Asphalt
1717,Riverside Park,Skate Park And Basketball Courts,Handball,5,0,Asphalt
1718,Riverside Park,Skate Park And Basketball Courts,Handball,6,0,Asphalt
1719,Franklin D. Roosevelt Boardwalk and Beach,Midland Playground,Handball,5,1,Asphalt
1720,Franklin D. Roosevelt Boardwalk and Beach,Midland Playground,Handball,8,1,Asphalt
1721,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach Playground,Handball,4,1,Asphalt
1722,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach Playground,Handball,1,1,Asphalt
1723,Jackie Robinson Park,Plgd One Fifty Two CLII,Handball,2,0,Asphalt
1724,Jackie Robinson Park,Plgd One Fifty Two CLII,Handball,3,0,Asphalt
1725,Manhattan Beach Park,Pat Parlato Plgd,Handball,4,0,Asphalt
1726,Manhattan Beach Park,Pat Parlato Plgd,Handball,3,0,Asphalt
1727,Manhattan Beach Park,Pat Parlato Plgd,Handball,2,0,Asphalt
1728,Manhattan Beach Park,Pat Parlato Plgd,Handball,1,0,Asphalt
1729,Baisley Pond Park,Baisley Pond Park,Handball,11,0,Asphalt
1730,Baisley Pond Park,157 St Playground,Handball,17,1,Asphalt
1731,Baisley Pond Park,Baisley Park South,Handball,8,0,Asphalt
1732,Baisley Pond Park,157 St Playground,Handball,21,1,Asphalt
1733,Baisley Pond Park,157 St Playground,Handball,19,1,Asphalt
1734,Baisley Pond Park,157 St Playground,Handball,22,1,Asphalt
1735,Baisley Pond Park,Baisley Park South,Handball,5,0,Asphalt
1736,Baisley Pond Park,Baisley Pond Park,Handball,10,0,Asphalt
1737,Baisley Pond Park,157 St Playground,Handball,20,1,Asphalt
1738,Baisley Pond Park,Baisley Park South,Handball,1,0,Asphalt
1739,Baisley Pond Park,Baisley Park South,Handball,4,0,Asphalt
1740,Baisley Pond Park,Baisley Park South,Handball,2,0,Asphalt
1741,Baisley Pond Park,Baisley Park South,Handball,3,0,Asphalt
1742,Baisley Pond Park,Baisley Pond Park,Handball,14,0,Asphalt
1743,St. Nicholas Park,St Nicholas,Handball,5,0,Asphalt
1744,St. Nicholas Park,St Nicholas,Handball,6,0,Asphalt
1745,St. Nicholas Park,St Nicholas,Handball,1,0,Asphalt
1746,St. Nicholas Park,Arlington Edinboro Playground,Handball,10,0,Asphalt
